Absol,1,Dragon,Pokémon - Basic,Darkness,Rare Holo
Altaria,2,Dragon,Pokémon - Stage 1,Colorless,Rare Holo
Crawdaunt,3,Dragon,Pokémon - Stage 1,Water,Rare Holo
Flygon,4,Dragon,Pokémon - Stage 2,Colorless,Rare Holo
Golem,5,Dragon,Pokémon - Stage 2,Fighting,Rare Holo
Grumpig,6,Dragon,Pokémon - Stage 1,Psychic,Rare Holo
Minun,7,Dragon,Pokémon - Basic,Lightning,Rare Holo
Plusle,8,Dragon,Pokémon - Basic,Lightning,Rare Holo
Roselia,9,Dragon,Pokémon - Basic,Grass,Rare Holo
Salamence,10,Dragon,Pokémon - Stage 2,Colorless,Rare Holo
Shedinja,11,Dragon,Pokémon - Stage 1,Grass,Rare Holo
Torkoal,12,Dragon,Pokémon - Basic,Fire,Rare Holo
Crawdaunt,13,Dragon,Pokémon - Stage 1,Water,Rare
Dragonair,14,Dragon,Pokémon - Stage 1,Colorless,Rare
Flygon,15,Dragon,Pokémon - Stage 2,Colorless,Rare
Girafarig,16,Dragon,Pokémon - Basic,Psychic,Rare
Magneton,17,Dragon,Pokémon - Stage 1,Lightning,Rare
Ninjask,18,Dragon,Pokémon - Stage 1,Grass,Rare
Salamence,19,Dragon,Pokémon - Stage 2,Colorless,Rare
Shelgon,20,Dragon,Pokémon - Stage 1,Colorless,Rare
Skarmory,21,Dragon,Pokémon - Basic,Metal,Rare
Vibrava,22,Dragon,Pokémon - Stage 1,Colorless,Rare
Bagon,23,Dragon,Pokémon - Basic,Colorless,Uncommon
Camerupt,24,Dragon,Pokémon - Stage 1,Fire,Uncommon
Combusken,25,Dragon,Pokémon - Stage 1,Fire,Uncommon
Dratini,26,Dragon,Pokémon - Basic,Colorless,Uncommon
Flaaffy,27,Dragon,Pokémon - Stage 1,Lightning,Uncommon
Forretress,28,Dragon,Pokémon - Stage 1,Metal,Uncommon
Graveler,29,Dragon,Pokémon - Stage 1,Fighting,Uncommon
Graveler,30,Dragon,Pokémon - Stage 1,Fighting,Uncommon
Grovyle,31,Dragon,Pokémon - Stage 1,Grass,Uncommon
