Arcanine,1,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Fire,Rare Holo
Azumarill,2,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Water,Rare Holo
Clefable,3,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Colorless,Rare Holo
Gyarados,4,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Water,Rare Holo
Hitmontop,5,HeartGold &amp; SoulSilver,Pokémon - Basic,Fighting,Rare Holo
Jumpluff,6,HeartGold &amp; SoulSilver,Pokémon - Stage 2,Grass,Rare Holo
Ninetales,7,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Fire,Rare Holo
Noctowl,8,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Colorless,Rare Holo
Quagsire,9,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Water,Rare
Raichu,10,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Lightning,Rare Holo
Shuckle,11,HeartGold &amp; SoulSilver,Pokémon - Basic,Grass,Rare Holo
Slowking,12,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Psychic,Rare Holo
Wobbuffet,13,HeartGold &amp; SoulSilver,Pokémon - Basic,Psychic,Rare Holo
Ampharos,14,HeartGold &amp; SoulSilver,Pokémon - Stage 2,Lightning,Rare
Ariados,15,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Grass,Rare
Butterfree,16,HeartGold &amp; SoulSilver,Pokémon - Stage 2,Grass,Rare
Cleffa,17,HeartGold &amp; SoulSilver,Pokémon - Basic,Colorless,Rare
Exeggutor,18,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Psychic,Rare
Farfetch'd,19,HeartGold &amp; SoulSilver,Pokémon - Basic,Colorless,Rare
Feraligatr,20,HeartGold &amp; SoulSilver,Pokémon - Stage 2,Water,Rare
Furret,21,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Colorless,Rare
Granbull,22,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Colorless,Rare
Hypno,23,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Psychic,Rare
Lapras,24,HeartGold &amp; SoulSilver,Pokémon - Basic,Water,Rare
Ledian,25,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Grass,Rare
Meganium,26,HeartGold &amp; SoulSilver,Pokémon - Stage 2,Grass,Rare
Persian,27,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Colorless,Rare
Pichu,28,HeartGold &amp; SoulSilver,Pokémon - Basic,Lightning,Rare
Sandslash,29,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Fighting,Rare
Smoochum,30,HeartGold &amp; SoulSilver,Pokémon - Basic,Psychic,Rare
Sunflora,31,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Grass,Rare
Typhlosion,32,HeartGold &amp; SoulSilver,Pokémon - Stage 2,Fire,Rare
Tyrogue,33,HeartGold &amp; SoulSilver,Pokémon - Basic,Fighting,Rare
Weezing,34,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Psychic,Rare
Bayleef,35,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Grass,Uncommon
Blissey,36,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Colorless,Uncommon
Corsola,37,HeartGold &amp; SoulSilver,Pokémon - Basic,Water,Uncommon
Croconaw,38,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Water,Uncommon
Delibird,39,HeartGold &amp; SoulSilver,Pokémon - Basic,Water,Uncommon
Donphan,40,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Fighting,Uncommon
Dunsparce,41,HeartGold &amp; SoulSilver,Pokémon - Basic,Colorless,Uncommon
Flaaffy,42,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Lightning,Uncommon
Heracross,43,HeartGold &amp; SoulSilver,Pokémon - Basic,Grass,Uncommon
Igglybuff,44,HeartGold &amp; SoulSilver,Pokémon - Basic,Colorless,Uncommon
Mantine,45,HeartGold &amp; SoulSilver,Pokémon - Basic,Water,Uncommon
Metapod,46,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Grass,Uncommon
Miltank,47,HeartGold &amp; SoulSilver,Pokémon - Basic,Colorless,Uncommon
Parasect,48,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Grass,Uncommon
Quilava,49,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Fire,Uncommon
Qwilfish,50,HeartGold &amp; SoulSilver,Pokémon - Basic,Water,Uncommon
Skiploom,51,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Grass,Uncommon
Slowbro,52,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Water,Uncommon
Starmie,53,HeartGold &amp; SoulSilver,Pokémon - Stage 1,Water,Uncommon
