Ho-Oh,HGSS01,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Fire,Promo
Lugia,HGSS02,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Water,Promo
Pikachu,HGSS03,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Lightning,Promo
Wobbuffet,HGSS04,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Psychic,Promo
Hoothoot,HGSS05,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Colorless,Promo
Noctowl,HGSS06,HeartGold &amp; SoulSilver Promos,Pokémon - Stage 2,Colorless,Promo
Feraligatr Prime,HGSS07,HeartGold &amp; SoulSilver Promos,Pokémon - Stage 2,Water,Promo
Meganium Prime,HGSS08,HeartGold &amp; SoulSilver Promos,Pokémon - Stage 2,Grass,Promo
Typhlosion Prime,HGSS09,HeartGold &amp; SoulSilver Promos,Pokémon - Stage 2,Fire,Promo
Latias,HGSS10,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Colorless,Promo
Latios,HGSS11,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Colorless,Promo
Cleffa,HGSS12,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Colorless,Promo
Smoochum,HGSS13,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Psychic,Promo
Lapras,HGSS14,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Water,Promo
Shuckle,HGSS15,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Fighting,Promo
Plusle,HGSS16,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Lightning,Promo
Minun,HGSS17,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Lightning,Promo
Tropical Tidal Wave,HGSS18,HeartGold &amp; SoulSilver Promos,Trainer,n/a,Promo
Raikou,HGSS19,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Lightning,Promo
Entei,HGSS20,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Fire,Promo
Suicune,HGSS21,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Water,Promo
Porygon,HGSS22,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Colorless,Promo
Porygon2,HGSS23,HeartGold &amp; SoulSilver Promos,Pokémon - Stage 1,Colorless,Promo
Hitmonchan,HGSS24,HeartGold &amp; SoulSilver Promos,Pokémon - Basic,Fighting,Promo
