Blaziken,1,Great Encounters,Pokémon - Stage 2,Fire,Rare
Cresselia,2,Great Encounters,Pokémon - Basic,Psychic,Rare
Darkrai,3,Great Encounters,Pokémon - Basic,Darkness,Rare
Darkrai,4,Great Encounters,Pokémon - Basic,Darkness,Rare
Pachirisu,5,Great Encounters,Pokémon - Basic,Lightning,Rare
Porygon-Z,6,Great Encounters,Pokémon - Stage 2,Colorless,Rare
Rotom,7,Great Encounters,Pokémon - Basic,Lightning,Rare
Sceptile,8,Great Encounters,Pokémon - Stage 2,Grass,Rare
Swampert,9,Great Encounters,Pokémon - Stage 2,Water,Rare
Tangrowth,10,Great Encounters,Pokémon - Stage 1,Grass,Rare
Togekiss,11,Great Encounters,Pokémon - Stage 2,Colorless,Rare
Altaria,12,Great Encounters,Pokémon - Stage 1,Colorless,Rare
Beedrill,13,Great Encounters,Pokémon - Stage 2,Grass,Rare
Butterfree,14,Great Encounters,Pokémon - Stage 2,Grass,Rare
Claydol,15,Great Encounters,Pokémon - Stage 1,Fighting,Rare
Dialga,16,Great Encounters,Pokémon - Basic,Metal,Rare
Exploud,17,Great Encounters,Pokémon - Stage 2,Colorless,Rare
Houndoom,18,Great Encounters,Pokémon - Stage 1,Darkness,Rare
Hypno,19,Great Encounters,Pokémon - Stage 1,Psychic,Rare
Kingler,20,Great Encounters,Pokémon - Stage 1,Water,Rare
Lapras,21,Great Encounters,Pokémon - Basic,Water,Rare
Latias,22,Great Encounters,Pokémon - Basic,Colorless,Rare
Latios,23,Great Encounters,Pokémon - Basic,Colorless,Rare
Mawile,24,Great Encounters,Pokémon - Basic,Metal,Rare
Milotic,25,Great Encounters,Pokémon - Stage 1,Water,Rare
Palkia,26,Great Encounters,Pokémon - Basic,Water,Rare
Primeape,27,Great Encounters,Pokémon - Stage 1,Fighting,Rare
Slowking,28,Great Encounters,Pokémon - Stage 1,Psychic,Rare
Unown H,29,Great Encounters,Pokémon - Basic,Psychic,Rare
Wailord,30,Great Encounters,Pokémon - Stage 1,Water,Rare
Weezing,31,Great Encounters,Pokémon - Stage 1,Psychic,Rare
Wigglytuff,32,Great Encounters,Pokémon - Stage 1,Colorless,Rare
Arbok,33,Great Encounters,Pokémon - Stage 1,Psychic,Uncommon
Combusken,35,Great Encounters,Pokémon - Stage 1,Fire,Uncommon
Delibird,36,Great Encounters,Pokémon - Basic,Water,Uncommon
Floatzel,37,Great Encounters,Pokémon - Stage 1,Water,Uncommon
Gorebyss,38,Great Encounters,Pokémon - Stage 1,Water,Uncommon
Granbull,39,Great Encounters,Pokémon - Stage 1,Colorless,Uncommon
Grovyle,40,Great Encounters,Pokémon - Stage 1,Grass,null
Hariyama,41,Great Encounters,Pokémon - ,Fighting,Uncommon
Huntail,42,Great Encounters,Pokémon - Stage 1,Water,Uncommon
Linoone,43,Great Encounters,Pokémon - Stage 1,Colorless,Uncommon
Loudred,44,Great Encounters,Pokémon - Stage 1,n/a,Uncommon
Magcargo,45,Great Encounters,Pokémon - Stage 1,n/a,Uncommon
Marshtomp,46,Great Encounters,Pokémon - Stage 1,Water,Uncommon
Metapod,47,Great Encounters,Pokémon - Stage 1,n/a,Uncommon
Pelipper,48,Great Encounters,Pokémon - Stage 1,Water,Uncommon
Porygon2,49,Great Encounters,Pokémon - Stage 1,Colorless,Uncommon
Purugly,50,Great Encounters,Pokémon - Stage 1,Colorless,Uncommon
Relicanth,51,Great Encounters,Pokémon - Basic,Water,Uncommon
Seviper,52,Great Encounters,Pokémon - Basic,Psychic,Uncommon
Skarmory,53,Great Encounters,Pokémon - Basic,Metal,Uncommon
Slowbro,54,Great Encounters,Pokémon - Stage 1,Water,Uncommon
Togetic,55,Great Encounters,Pokémon - Stage 1,Colorless,Uncommon
Unown F,56,Great Encounters,Pokémon - Basic,Psychic,Uncommon
Unown G,57,Great Encounters,Pokémon - Basic,Psychic,Uncommon
Wailmer,58,Great Encounters,Pokémon - Basic,Water,Uncommon
Zangoose,59,Great Encounters,Pokémon - Basic,Colorless,Uncommon
Baltoy,60,Great Encounters,Pokémon - Basic,Fighting,Common
Buizel,61,Great Encounters,Pokémon - Basic,Water,Common
Cacnea,62,Great Encounters,Pokémon - Basic,Grass,Common
Caterpie,63,Great Encounters,Pokémon - Basic,Grass,Common
Cacturne,34,Great Encounters,Pokémon - Stage 1,Darkness,Uncommon
Clamperl,64,Great Encounters,Pokémon - Basic,Water,Common
Drowzee,65,Great Encounters,Pokémon - Basic,Psychic,Common
Ekans,66,Great Encounters,Pokémon - Basic,Psychic,Common
Feebas,67,Great Encounters,Pokémon - Basic,Water,Common
Glameow,68,Great Encounters,Pokémon - Basic,Colorless,Common
Houndour,69,Great Encounters,Pokémon - Basic,Fire,Common
Igglybuff,70,Great Encounters,Pokémon - Basic,Colorless,Common
Illumise,71,Great Encounters,Pokémon - Basic,Grass,Common
Jigglypuff,72,Great Encounters,Pokémon - Basic,Colorless,Common
Kakuna,73,Great Encounters,Pokémon - Stage 1,Grass,Common
Koffing,74,Great Encounters,Pokémon - Basic,Psychic,Common
Krabby,75,Great Encounters,Pokémon - Basic,Water,Common
Lunatone,76,Great Encounters,Pokémon - Basic,Fighting,Common
Luvdisc,77,Great Encounters,Pokémon - Basic,Water,Common
Makuhita,78,Great Encounters,Pokémon - Basic,Fighting,Common
Mankey,79,Great Encounters,Pokémon - Basic,Fighting,Common
Mudkip,80,Great Encounters,Pokémon - Basic,Water,Common
Porygon,81,Great Encounters,Pokémon - Basic,Colorless,Common
Slowpoke,82,Great Encounters,Pokémon - Basic,Water,Common
Slugma,83,Great Encounters,Pokémon - Basic,Fire,Common
Snubbull,84,Great Encounters,Pokémon - Basic,Colorless,Common
Solrock,85,Great Encounters,Pokémon - Basic,Fighting,Common
Swablu,86,Great Encounters,Pokémon - Basic,Colorless,Common
Tangela,87,Great Encounters,Pokémon - Basic,Grass,Common
Togepi,88,Great Encounters,Pokémon - Basic,Colorless,Common
Torchic,89,Great Encounters,Pokémon - Basic,Fire,Common
Treecko,90,Great Encounters,Pokémon - Basic,Grass,Common
Unown L,91,Great Encounters,Pokémon - Basic,Psychic,Common
Volbeat,92,Great Encounters,Pokémon - Basic,Grass,Common
Weedle,93,Great Encounters,Pokémon - Basic,Grass,Common
Whismur,94,Great Encounters,Pokémon - Basic,Colorless,Common
Wingull,95,Great Encounters,Pokémon - Basic,Water,Common
Zigzagoon,96,Great Encounters,Pokémon - Basic,Colorless,Common
Amulet Coin,97,Great Encounters,Trainer - Pokémon Tool,n/a,Uncommon
Felicity's Drawing,98,Great Encounters,Trainer - Supporter,n/a,Uncommon
Leftovers,99,Great Encounters,null,n/a,Uncommon
Moonlight Stadium,100,Great Encounters,null,n/a,Uncommon
Premier Ball,101,Great Encounters,Trainer,n/a,Uncommon
Rare Candy,102,Great Encounters,Trainer,n/a,Uncommon
Cresselia LV.X,103,Great Encounters,Pokémon - Level-Up,Psychic,Ultra Rare
Darkrai LV.X,104,Great Encounters,Pokémon - Level-Up,Darkness,Ultra Rare
Dialga LV.X,105,Great Encounters,Pokémon - Level-Up,Metal,Rare Holo
